config,seed,real_fpr_penalty,fake_miss_penalty,source_fake_rate_cap,variant,score_calibrator,accuracy,precision,recall,f1,roc_auc,brier_score,expected_calibration_error,maximum_calibration_error,threshold,threshold_strategy,threshold_tiebreak,threshold_source,threshold_fake_detection_weight,threshold_real_clearance_weight,threshold_real_fpr_penalty,threshold_fake_miss_penalty,threshold_max_positive_rate,threshold_source_predicted_positive_rate,predicted_positive_rate,score_mean,raw_score_mean,n_samples
score_fusion_all6_c003_source_utility_rfp2_fmp1_cap0p48,17,2.0,1.0,0.48,ishu_test,none,0.6666666666666666,0.6285714285714286,0.7857142857142857,0.6984126984126984,0.7826354679802956,0.2422857038601673,0.2190054996510511,0.4138731849752566,0.7029289297383793,source_utility,higher,source_calibration,1.0,1.0,2.0,1.0,0.48,0.475,0.6140350877192983,0.6975733690805476,0.6975733690805476,114
score_fusion_all6_c003_source_utility_rfp2_fmp1_cap0p48,29,2.0,1.0,0.48,train,none,0.955,0.9690721649484536,0.94,0.9543147208121828,0.9927,0.0506616834006784,0.1277810163639791,0.245690745161539,0.5897296362659037,source_utility,higher,source_calibration,1.0,1.0,2.0,1.0,0.48,0.475,0.485,0.4998721426465304,0.4998721426465304,200
score_fusion_all6_c003_source_utility_rfp2_fmp1_cap0p48,29,2.0,1.0,0.48,ishu_test,none,0.7543859649122807,0.6891891891891891,0.9107142857142856,0.7846153846153846,0.8793103448275863,0.1912668759092576,0.1827990196354151,0.3545444024676645,0.5897296362659037,source_utility,higher,source_calibration,1.0,1.0,2.0,1.0,0.48,0.475,0.6491228070175439,0.6633256855910707,0.6633256855910707,114
score_fusion_all6_c003_source_utility_rfp2_fmp1_cap0p5,7,2.0,1.0,0.5,train,none,0.945,0.989010989010989,0.9,0.9424083769633508,0.9896,0.0514091777402508,0.1251225844975514,0.4609135467233839,0.7027746617327966,source_utility,higher,source_calibration,1.0,1.0,2.0,1.0,0.5,0.5,0.455,0.5052344157702439,0.5052344157702439,200
score_fusion_all6_c003_source_utility_rfp2_fmp1_cap0p5,7,2.0,1.0,0.5,ishu_test,none,0.7456140350877193,0.6956521739130435,0.8571428571428571,0.768,0.8254310344827586,0.2228802366259784,0.2161680368328001,0.4540881997654687,0.7027746617327966,source_utility,higher,source_calibration,1.0,1.0,2.0,1.0,0.5,0.5,0.6052631578947368,0.7073961070082385,0.7073961070082385,114
score_fusion_all6_c003_source_utility_rfp2_fmp1_cap0p5,17,2.0,1.0,0.5,train,none,0.965,0.9696969696969696,0.96,0.964824120603015,0.9966,0.0411736264603969,0.1244219046864585,0.2540746895423622,0.591473875401568,source_utility,higher,source_calibration,1.0,1.0,2.0,1.0,0.5,0.5,0.495,0.4999849624503117,0.4999849624503117,200
score_fusion_all6_c003_source_utility_rfp2_fmp1_cap0p5,17,2.0,1.0,0.5,ishu_test,none,0.6578947368421053,0.6024096385542169,0.8928571428571429,0.7194244604316546,0.7826354679802956,0.2422857038601673,0.2190054996510511,0.4138731849752566,0.591473875401568,source_utility,higher,source_calibration,1.0,1.0,2.0,1.0,0.5,0.5,0.7280701754385965,0.6975733690805476,0.6975733690805476,114
score_fusion_all6_c003_source_utility_rfp2_fmp1_cap0p5,29,2.0,1.0,0.5,train,none,0.955,0.9690721649484536,0.94,0.9543147208121828,0.9927,0.0506616834006784,0.1277810163639791,0.245690745161539,0.5897296362659037,source_utility,higher,source_calibration,1.0,1.0,2.0,1.0,0.5,0.475,0.485,0.4998721426465304,0.4998721426465304,200
score_fusion_all6_c003_source_utility_rfp2_fmp1_cap0p5,29,2.0,1.0,0.5,ishu_test,none,0.7543859649122807,0.6891891891891891,0.9107142857142856,0.7846153846153846,0.8793103448275863,0.1912668759092576,0.1827990196354151,0.3545444024676645,0.5897296362659037,source_utility,higher,source_calibration,1.0,1.0,2.0,1.0,0.5,0.475,0.6491228070175439,0.6633256855910707,0.6633256855910707,114
score_fusion_all6_c003_source_utility_rfp2_fmp1p5_nocap,7,2.0,1.5,,train,none,0.945,0.989010989010989,0.9,0.9424083769633508,0.9896,0.0514091777402508,0.1251225844975514,0.4609135467233839,0.7027746617327966,source_utility,higher,source_calibration,1.0,1.0,2.0,1.5,,0.5,0.455,0.5052344157702439,0.5052344157702439,200
score_fusion_all6_c003_source_utility_rfp2_fmp1p5_nocap,7,2.0,1.5,,ishu_test,none,0.7456140350877193,0.6956521739130435,0.8571428571428571,0.768,0.8254310344827586,0.2228802366259784,0.2161680368328001,0.4540881997654687,0.7027746617327966,source_utility,higher,source_calibration,1.0,1.0,2.0,1.5,,0.5,0.6052631578947368,0.7073961070082385,0.7073961070082385,114
score_fusion_all6_c003_source_utility_rfp2_fmp1p5_nocap,17,2.0,1.5,,train,none,0.965,0.9696969696969696,0.96,0.964824120603015,0.9966,0.0411736264603969,0.1244219046864585,0.2540746895423622,0.591473875401568,source_utility,higher,source_calibration,1.0,1.0,2.0,1.5,,0.5,0.495,0.4999849624503117,0.4999849624503117,200
score_fusion_all6_c003_source_utility_rfp2_fmp1p5_nocap,17,2.0,1.5,,ishu_test,none,0.6578947368421053,0.6024096385542169,0.8928571428571429,0.7194244604316546,0.7826354679802956,0.2422857038601673,0.2190054996510511,0.4138731849752566,0.591473875401568,source_utility,higher,source_calibration,1.0,1.0,2.0,1.5,,0.5,0.7280701754385965,0.6975733690805476,0.6975733690805476,114
score_fusion_all6_c003_source_utility_rfp2_fmp1p5_nocap,29,2.0,1.5,,train,none,0.955,0.9690721649484536,0.94,0.9543147208121828,0.9927,0.0506616834006784,0.1277810163639791,0.245690745161539,0.5897296362659037,source_utility,higher,source_calibration,1.0,1.0,2.0,1.5,,0.475,0.485,0.4998721426465304,0.4998721426465304,200
score_fusion_all6_c003_source_utility_rfp2_fmp1p5_nocap,29,2.0,1.5,,ishu_test,none,0.7543859649122807,0.6891891891891891,0.9107142857142856,0.7846153846153846,0.8793103448275863,0.1912668759092576,0.1827990196354151,0.3545444024676645,0.5897296362659037,source_utility,higher,source_calibration,1.0,1.0,2.0,1.5,,0.475,0.6491228070175439,0.6633256855910707,0.6633256855910707,114
score_fusion_all6_c003_source_utility_rfp2_fmp1p5_cap0p45,7,2.0,1.5,0.45,train,none,0.92,0.9883720930232558,0.85,0.913978494623656,0.9896,0.0514091777402508,0.1251225844975514,0.4609135467233839,0.7224878755875712,source_utility,higher,source_calibration,1.0,1.0,2.0,1.5,0.45,0.45,0.43,0.5052344157702439,0.5052344157702439,200
score_fusion_all6_c003_source_utility_rfp2_fmp1p5_cap0p45,7,2.0,1.5,0.45,ishu_test,none,0.7456140350877193,0.7014925373134329,0.8392857142857143,0.7642276422764228,0.8254310344827586,0.2228802366259784,0.2161680368328001,0.4540881997654687,0.7224878755875712,source_utility,higher,source_calibration,1.0,1.0,2.0,1.5,0.45,0.45,0.5877192982456141,0.7073961070082385,0.7073961070082385,114
score_fusion_all6_c003_source_utility_rfp2_fmp1p5_cap0p45,17,2.0,1.5,0.45,train,none,0.945,1.0,0.89,0.9417989417989416,0.9966,0.0411736264603969,0.1244219046864585,0.2540746895423622,0.7093367000719771,source_utility,higher,source_calibration,1.0,1.0,2.0,1.5,0.45,0.45,0.445,0.4999849624503117,0.4999849624503117,200
score_fusion_all6_c003_source_utility_rfp2_fmp1p5_cap0p45,17,2.0,1.5,0.45,ishu_test,none,0.6666666666666666,0.6285714285714286,0.7857142857142857,0.6984126984126984,0.7826354679802956,0.2422857038601673,0.2190054996510511,0.4138731849752566,0.7093367000719771,source_utility,higher,source_calibration,1.0,1.0,2.0,1.5,0.45,0.45,0.6140350877192983,0.6975733690805476,0.6975733690805476,114
score_fusion_all6_c003_source_utility_rfp2_fmp1p5_cap0p45,29,2.0,1.5,0.45,train,none,0.95,0.96875,0.93,0.9489795918367347,0.9927,0.0506616834006784,0.1277810163639791,0.245690745161539,0.6223054621348034,source_utility,higher,source_calibration,1.0,1.0,2.0,1.5,0.45,0.45,0.48,0.4998721426465304,0.4998721426465304,200
score_fusion_all6_c003_source_utility_rfp2_fmp1p5_cap0p45,29,2.0,1.5,0.45,ishu_test,none,0.7456140350877193,0.684931506849315,0.8928571428571429,0.7751937984496124,0.8793103448275863,0.1912668759092576,0.1827990196354151,0.3545444024676645,0.6223054621348034,source_utility,higher,source_calibration,1.0,1.0,2.0,1.5,0.45,0.45,0.6403508771929824,0.6633256855910707,0.6633256855910707,114
score_fusion_all6_c003_source_utility_rfp2_fmp1p5_cap0p48,7,2.0,1.5,0.48,train,none,0.94,0.9888888888888888,0.89,0.936842105263158,0.9896,0.0514091777402508,0.1251225844975514,0.4609135467233839,0.7044421076140431,source_utility,higher,source_calibration,1.0,1.0,2.0,1.5,0.48,0.475,0.45,0.5052344157702439,0.5052344157702439,200
score_fusion_all6_c003_source_utility_rfp2_fmp1p5_cap0p48,7,2.0,1.5,0.48,ishu_test,none,0.7456140350877193,0.6956521739130435,0.8571428571428571,0.768,0.8254310344827586,0.2228802366259784,0.2161680368328001,0.4540881997654687,0.7044421076140431,source_utility,higher,source_calibration,1.0,1.0,2.0,1.5,0.48,0.475,0.6052631578947368,0.7073961070082385,0.7073961070082385,114
score_fusion_all6_c003_source_utility_rfp2_fmp1p5_cap0p48,17,2.0,1.5,0.48,train,none,0.95,1.0,0.9,0.9473684210526316,0.9966,0.0411736264603969,0.1244219046864585,0.2540746895423622,0.7029289297383793,source_utility,higher,source_calibration,1.0,1.0,2.0,1.5,0.48,0.475,0.45,0.4999849624503117,0.4999849624503117,200
score_fusion_all6_c003_source_utility_rfp2_fmp1p5_cap0p48,17,2.0,1.5,0.48,ishu_test,none,0.6666666666666666,0.6285714285714286,0.7857142857142857,0.6984126984126984,0.7826354679802956,0.2422857038601673,0.2190054996510511,0.4138731849752566,0.7029289297383793,source_utility,higher,source_calibration,1.0,1.0,2.0,1.5,0.48,0.475,0.6140350877192983,0.6975733690805476,0.6975733690805476,114
score_fusion_all6_c003_source_utility_rfp2_fmp1p5_cap0p48,29,2.0,1.5,0.48,train,none,0.955,0.9690721649484536,0.94,0.9543147208121828,0.9927,0.0506616834006784,0.1277810163639791,0.245690745161539,0.5897296362659037,source_utility,higher,source_calibration,1.0,1.0,2.0,1.5,0.48,0.475,0.485,0.4998721426465304,0.4998721426465304,200
score_fusion_all6_c003_source_utility_rfp2_fmp1p5_cap0p48,29,2.0,1.5,0.48,ishu_test,none,0.7543859649122807,0.6891891891891891,0.9107142857142856,0.7846153846153846,0.8793103448275863,0.1912668759092576,0.1827990196354151,0.3545444024676645,0.5897296362659037,source_utility,higher,source_calibration,1.0,1.0,2.0,1.5,0.48,0.475,0.6491228070175439,0.6633256855910707,0.6633256855910707,114
score_fusion_all6_c003_source_utility_rfp2_fmp1p5_cap0p5,7,2.0,1.5,0.5,train,none,0.945,0.989010989010989,0.9,0.9424083769633508,0.9896,0.0514091777402508,0.1251225844975514,0.4609135467233839,0.7027746617327966,source_utility,higher,source_calibration,1.0,1.0,2.0,1.5,0.5,0.5,0.455,0.5052344157702439,0.5052344157702439,200
score_fusion_all6_c003_source_utility_rfp2_fmp1p5_cap0p5,7,2.0,1.5,0.5,ishu_test,none,0.7456140350877193,0.6956521739130435,0.8571428571428571,0.768,0.8254310344827586,0.2228802366259784,0.2161680368328001,0.4540881997654687,0.7027746617327966,source_utility,higher,source_calibration,1.0,1.0,2.0,1.5,0.5,0.5,0.6052631578947368,0.7073961070082385,0.7073961070082385,114
score_fusion_all6_c003_source_utility_rfp2_fmp1p5_cap0p5,17,2.0,1.5,0.5,train,none,0.965,0.9696969696969696,0.96,0.964824120603015,0.9966,0.0411736264603969,0.1244219046864585,0.2540746895423622,0.591473875401568,source_utility,higher,source_calibration,1.0,1.0,2.0,1.5,0.5,0.5,0.495,0.4999849624503117,0.4999849624503117,200
score_fusion_all6_c003_source_utility_rfp2_fmp1p5_cap0p5,17,2.0,1.5,0.5,ishu_test,none,0.6578947368421053,0.6024096385542169,0.8928571428571429,0.7194244604316546,0.7826354679802956,0.2422857038601673,0.2190054996510511,0.4138731849752566,0.591473875401568,source_utility,higher,source_calibration,1.0,1.0,2.0,1.5,0.5,0.5,0.7280701754385965,0.6975733690805476,0.6975733690805476,114
score_fusion_all6_c003_source_utility_rfp2_fmp1p5_cap0p5,29,2.0,1.5,0.5,train,none,0.955,0.9690721649484536,0.94,0.9543147208121828,0.9927,0.0506616834006784,0.1277810163639791,0.245690745161539,0.5897296362659037,source_utility,higher,source_calibration,1.0,1.0,2.0,1.5,0.5,0.475,0.485,0.4998721426465304,0.4998721426465304,200
score_fusion_all6_c003_source_utility_rfp2_fmp1p5_cap0p5,29,2.0,1.5,0.5,ishu_test,none,0.7543859649122807,0.6891891891891891,0.9107142857142856,0.7846153846153846,0.8793103448275863,0.1912668759092576,0.1827990196354151,0.3545444024676645,0.5897296362659037,source_utility,higher,source_calibration,1.0,1.0,2.0,1.5,0.5,0.475,0.6491228070175439,0.6633256855910707,0.6633256855910707,114
score_fusion_all6_c003_source_utility_rfp2_fmp2_nocap,7,2.0,2.0,,train,none,0.945,0.989010989010989,0.9,0.9424083769633508,0.9896,0.0514091777402508,0.1251225844975514,0.4609135467233839,0.7027746617327966,source_utility,higher,source_calibration,1.0,1.0,2.0,2.0,,0.5,0.455,0.5052344157702439,0.5052344157702439,200
score_fusion_all6_c003_source_utility_rfp2_fmp2_nocap,7,2.0,2.0,,ishu_test,none,0.7456140350877193,0.6956521739130435,0.8571428571428571,0.768,0.8254310344827586,0.2228802366259784,0.2161680368328001,0.4540881997654687,0.7027746617327966,source_utility,higher,source_calibration,1.0,1.0,2.0,2.0,,0.5,0.6052631578947368,0.7073961070082385,0.7073961070082385,114
score_fusion_all6_c003_source_utility_rfp2_fmp2_nocap,17,2.0,2.0,,train,none,0.965,0.9696969696969696,0.96,0.964824120603015,0.9966,0.0411736264603969,0.1244219046864585,0.2540746895423622,0.591473875401568,source_utility,higher,source_calibration,1.0,1.0,2.0,2.0,,0.5,0.495,0.4999849624503117,0.4999849624503117,200
score_fusion_all6_c003_source_utility_rfp2_fmp2_nocap,17,2.0,2.0,,ishu_test,none,0.6578947368421053,0.6024096385542169,0.8928571428571429,0.7194244604316546,0.7826354679802956,0.2422857038601673,0.2190054996510511,0.4138731849752566,0.591473875401568,source_utility,higher,source_calibration,1.0,1.0,2.0,2.0,,0.5,0.7280701754385965,0.6975733690805476,0.6975733690805476,114
score_fusion_all6_c003_source_utility_rfp2_fmp2_nocap,29,2.0,2.0,,train,none,0.955,0.9690721649484536,0.94,0.9543147208121828,0.9927,0.0506616834006784,0.1277810163639791,0.245690745161539,0.5897296362659037,source_utility,higher,source_calibration,1.0,1.0,2.0,2.0,,0.475,0.485,0.4998721426465304,0.4998721426465304,200
score_fusion_all6_c003_source_utility_rfp2_fmp2_nocap,29,2.0,2.0,,ishu_test,none,0.7543859649122807,0.6891891891891891,0.9107142857142856,0.7846153846153846,0.8793103448275863,0.1912668759092576,0.1827990196354151,0.3545444024676645,0.5897296362659037,source_utility,higher,source_calibration,1.0,1.0,2.0,2.0,,0.475,0.6491228070175439,0.6633256855910707,0.6633256855910707,114
score_fusion_all6_c003_source_utility_rfp2_fmp2_cap0p45,7,2.0,2.0,0.45,train,none,0.92,0.9883720930232558,0.85,0.913978494623656,0.9896,0.0514091777402508,0.1251225844975514,0.4609135467233839,0.7224878755875712,source_utility,higher,source_calibration,1.0,1.0,2.0,2.0,0.45,0.45,0.43,0.5052344157702439,0.5052344157702439,200
score_fusion_all6_c003_source_utility_rfp2_fmp2_cap0p45,7,2.0,2.0,0.45,ishu_test,none,0.7456140350877193,0.7014925373134329,0.8392857142857143,0.7642276422764228,0.8254310344827586,0.2228802366259784,0.2161680368328001,0.4540881997654687,0.7224878755875712,source_utility,higher,source_calibration,1.0,1.0,2.0,2.0,0.45,0.45,0.5877192982456141,0.7073961070082385,0.7073961070082385,114
score_fusion_all6_c003_source_utility_rfp2_fmp2_cap0p45,17,2.0,2.0,0.45,train,none,0.945,1.0,0.89,0.9417989417989416,0.9966,0.0411736264603969,0.1244219046864585,0.2540746895423622,0.7093367000719771,source_utility,higher,source_calibration,1.0,1.0,2.0,2.0,0.45,0.45,0.445,0.4999849624503117,0.4999849624503117,200
score_fusion_all6_c003_source_utility_rfp2_fmp2_cap0p45,17,2.0,2.0,0.45,ishu_test,none,0.6666666666666666,0.6285714285714286,0.7857142857142857,0.6984126984126984,0.7826354679802956,0.2422857038601673,0.2190054996510511,0.4138731849752566,0.7093367000719771,source_utility,higher,source_calibration,1.0,1.0,2.0,2.0,0.45,0.45,0.6140350877192983,0.6975733690805476,0.6975733690805476,114
score_fusion_all6_c003_source_utility_rfp2_fmp2_cap0p45,29,2.0,2.0,0.45,train,none,0.95,0.96875,0.93,0.9489795918367347,0.9927,0.0506616834006784,0.1277810163639791,0.245690745161539,0.6223054621348034,source_utility,higher,source_calibration,1.0,1.0,2.0,2.0,0.45,0.45,0.48,0.4998721426465304,0.4998721426465304,200
score_fusion_all6_c003_source_utility_rfp2_fmp2_cap0p45,29,2.0,2.0,0.45,ishu_test,none,0.7456140350877193,0.684931506849315,0.8928571428571429,0.7751937984496124,0.8793103448275863,0.1912668759092576,0.1827990196354151,0.3545444024676645,0.6223054621348034,source_utility,higher,source_calibration,1.0,1.0,2.0,2.0,0.45,0.45,0.6403508771929824,0.6633256855910707,0.6633256855910707,114
score_fusion_all6_c003_source_utility_rfp2_fmp2_cap0p48,7,2.0,2.0,0.48,train,none,0.94,0.9888888888888888,0.89,0.936842105263158,0.9896,0.0514091777402508,0.1251225844975514,0.4609135467233839,0.7044421076140431,source_utility,higher,source_calibration,1.0,1.0,2.0,2.0,0.48,0.475,0.45,0.5052344157702439,0.5052344157702439,200
score_fusion_all6_c003_source_utility_rfp2_fmp2_cap0p48,7,2.0,2.0,0.48,ishu_test,none,0.7456140350877193,0.6956521739130435,0.8571428571428571,0.768,0.8254310344827586,0.2228802366259784,0.2161680368328001,0.4540881997654687,0.7044421076140431,source_utility,higher,source_calibration,1.0,1.0,2.0,2.0,0.48,0.475,0.6052631578947368,0.7073961070082385,0.7073961070082385,114
score_fusion_all6_c003_source_utility_rfp2_fmp2_cap0p48,17,2.0,2.0,0.48,train,none,0.95,1.0,0.9,0.9473684210526316,0.9966,0.0411736264603969,0.1244219046864585,0.2540746895423622,0.7029289297383793,source_utility,higher,source_calibration,1.0,1.0,2.0,2.0,0.48,0.475,0.45,0.4999849624503117,0.4999849624503117,200
score_fusion_all6_c003_source_utility_rfp2_fmp2_cap0p48,17,2.0,2.0,0.48,ishu_test,none,0.6666666666666666,0.6285714285714286,0.7857142857142857,0.6984126984126984,0.7826354679802956,0.2422857038601673,0.2190054996510511,0.4138731849752566,0.7029289297383793,source_utility,higher,source_calibration,1.0,1.0,2.0,2.0,0.48,0.475,0.6140350877192983,0.6975733690805476,0.6975733690805476,114
score_fusion_all6_c003_source_utility_rfp2_fmp2_cap0p48,29,2.0,2.0,0.48,train,none,0.955,0.9690721649484536,0.94,0.9543147208121828,0.9927,0.0506616834006784,0.1277810163639791,0.245690745161539,0.5897296362659037,source_utility,higher,source_calibration,1.0,1.0,2.0,2.0,0.48,0.475,0.485,0.4998721426465304,0.4998721426465304,200
score_fusion_all6_c003_source_utility_rfp2_fmp2_cap0p48,29,2.0,2.0,0.48,ishu_test,none,0.7543859649122807,0.6891891891891891,0.9107142857142856,0.7846153846153846,0.8793103448275863,0.1912668759092576,0.1827990196354151,0.3545444024676645,0.5897296362659037,source_utility,higher,source_calibration,1.0,1.0,2.0,2.0,0.48,0.475,0.6491228070175439,0.6633256855910707,0.6633256855910707,114
score_fusion_all6_c003_source_utility_rfp2_fmp2_cap0p5,7,2.0,2.0,0.5,train,none,0.945,0.989010989010989,0.9,0.9424083769633508,0.9896,0.0514091777402508,0.1251225844975514,0.4609135467233839,0.7027746617327966,source_utility,higher,source_calibration,1.0,1.0,2.0,2.0,0.5,0.5,0.455,0.5052344157702439,0.5052344157702439,200
score_fusion_all6_c003_source_utility_rfp2_fmp2_cap0p5,7,2.0,2.0,0.5,ishu_test,none,0.7456140350877193,0.6956521739130435,0.8571428571428571,0.768,0.8254310344827586,0.2228802366259784,0.2161680368328001,0.4540881997654687,0.7027746617327966,source_utility,higher,source_calibration,1.0,1.0,2.0,2.0,0.5,0.5,0.6052631578947368,0.7073961070082385,0.7073961070082385,114
score_fusion_all6_c003_source_utility_rfp2_fmp2_cap0p5,17,2.0,2.0,0.5,train,none,0.965,0.9696969696969696,0.96,0.964824120603015,0.9966,0.0411736264603969,0.1244219046864585,0.2540746895423622,0.591473875401568,source_utility,higher,source_calibration,1.0,1.0,2.0,2.0,0.5,0.5,0.495,0.4999849624503117,0.4999849624503117,200
score_fusion_all6_c003_source_utility_rfp2_fmp2_cap0p5,17,2.0,2.0,0.5,ishu_test,none,0.6578947368421053,0.6024096385542169,0.8928571428571429,0.7194244604316546,0.7826354679802956,0.2422857038601673,0.2190054996510511,0.4138731849752566,0.591473875401568,source_utility,higher,source_calibration,1.0,1.0,2.0,2.0,0.5,0.5,0.7280701754385965,0.6975733690805476,0.6975733690805476,114
score_fusion_all6_c003_source_utility_rfp2_fmp2_cap0p5,29,2.0,2.0,0.5,train,none,0.955,0.9690721649484536,0.94,0.9543147208121828,0.9927,0.0506616834006784,0.1277810163639791,0.245690745161539,0.5897296362659037,source_utility,higher,source_calibration,1.0,1.0,2.0,2.0,0.5,0.475,0.485,0.4998721426465304,0.4998721426465304,200
